,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
HOMOSERKIN-RXN,1.2738424616895854,0.9001975928100655,1.0703380969362954,1.2316607148373313,1.0,0.8464518400813732,1.4784286501793893,1.3656359352313252,1.0940761348056065,1.3092766605223383,1.1033194083508318,1.013380367072747,0.9843537975953274,1.0271462319514368,0.8842527547219273,1.5405500959736191,1.5235698015915526,0.7713510400669275,1.401439917467108,1.1124598018660985,1.1128038892249508,1.5040578984668336,0.9118220723172435,1.1743500828026452
MTHFD,1.4950006104952007,1.30914881648785,1.5123362724094769,1.1702883642158601,1.0,1.0473255389278244,1.4935309867256235,1.2835645412622425,1.275978739874432,1.9289164528694267,1.6636802948132994,1.574403462315289,1.8556851634716867,1.8696971904111446,1.7705795460845934,1.3192389742131818,1.316314698548338,0.9212049474461942,1.4513388004935994,1.3127616227568946,1.3360203268411168,2.2454065095569593,1.9872043455862993,2.0474815500780403
RIBOPHOSPHAT-RXN,0.9103270319004977,1.158459712530393,0.7978736120686033,1.021422889900867,1.0,1.258808394984669,0.7194139418660221,0.8372008828220061,0.844142397716783,0.9423820757763831,0.8735725103019002,0.6640006438793075,0.7922594387272875,0.6814543386613874,0.7454063240467689,0.9485274738007008,0.7619738358806639,0.8843077865327781,0.7686591793706048,0.7276426001682722,0.6218666854312312,0.8958596228478154,0.8545316646563998,1.302443621008031
ABC-4-RXN,0.7592427262645939,0.8059468187193628,0.7005188903410429,0.7431210921578352,1.0,1.1384243373255651,1.105718554480851,0.8772632565361347,1.2193691077689284,0.6429662897400412,0.7565602418652325,0.7850112266184104,1.0290346085910944,1.1051807281799635,1.1394589264110886,0.888270731263419,0.8808624744135298,0.8513392564502283,1.173864370017513,0.8951170399395928,1.01029895927339,0.8408989101394192,0.677495609869068,0.5839422075008468
3HAD140,2.072498924354871,1.4693625753439408,1.4780488698372483,1.5788147476131105,1.0,0.8505975279972274,1.422646733089361,1.1320100830693527,0.8998938379564574,1.534221162221098,1.03658960275844,1.4768923321000726,2.704709878633732,2.4678308711392463,2.4052292798506776,2.269980279417842,1.9294888402130692,0.7116323016985612,1.4536743955963738,1.3650069623609213,1.331837908065842,2.3085613363459663,1.6611960723221737,2.019789491931974
ARGOXRum,0.4329918483763683,0.420560822481689,0.5266984834214067,0.598682268127216,1.0,1.3283620269812377,1.4038364249683275,2.162287796678657,2.594772004106351,2.3859521397061894,3.64580968564478,4.341405912640168,2.3884865830294832,3.0571727980981342,2.533191623292686,1.3530496465692723,1.1196541543777243,1.608924129246443,1.1583027962408627,1.3495787218867652,1.7402090524669043,0.17237574809572012,0.29550022286223426,0.464029223666335
DIAMINOPIMEPIM-RXN,1.0712548135884763,0.8920139784084453,0.8176900807263979,1.0865960318075873,1.0,1.0427637703876773,1.1537350521133862,1.0686623032688825,0.966926746408159,1.0821388210313934,1.205016197438072,0.9842833072212218,0.5352744441969951,0.6585819959020257,0.6704222906127092,0.9424079416215922,1.0023166162315462,0.7682673983761724,0.9263611344588089,0.9974364598449686,0.9843225817890127,1.604642676797017,1.2991974625598814,1.2549427353813638
BCAROHX2,0.37261088931072184,0.40717930070653546,0.3658702421765036,0.6706286670991596,1.0,1.0144888312478444,0.7959440880971771,0.91519319920811,0.9132627998637343,0.7524377298610468,0.7793395118731652,0.644490920027554,0.3600286369633217,0.35642565735561615,0.38037451105407893,0.5736922392946836,0.5107616583196256,0.7798766861187282,0.6195963175797146,0.7669842347732718,0.7820912978587873,0.7818657797603557,0.586146504198958,0.6202207608016995
H2PTERIDINEPYROPHOSPHOKIN-RXN,0.8673714913544188,0.9693777825005137,1.1602964059621228,1.3342724967474788,1.0,0.8579302651821523,1.2673523278117316,1.0508314528665579,0.7656380367662846,1.3327909690600008,1.2768885542635073,1.0182241111061126,0.7727456594006762,0.8514723582935944,0.8167412182266099,1.171855225379552,0.9146526567379981,1.1071439662617815,1.2399397024430945,1.2124678694078994,1.3636725916353107,1.5909231227777563,1.4597304833022997,2.1126533761241952
PANTOATE-BETA-ALANINE-LIG-RXN,1.2839052711947019,1.2175248415449234,1.1444096419751952,1.0065627525299876,1.0,1.022064811222619,1.1258908182882545,1.0532222938200417,0.9048860632125083,1.3096512340739956,1.3407082330193811,1.1059709152579587,1.0635724297589904,1.0599522579976501,1.0642123267183505,0.9918813421182446,0.9892027293831871,0.802487759506549,1.137858514689311,1.0969187403700502,1.1347693825504588,1.33243346718287,1.33451367585453,1.3005358162168217
